2022-12-26,20:06:37,383,336,288
2023-04-01,10:19:27,,,
2023-04-01,10:19:30,,,
2023-04-01,10:19:32,,,
2023-04-01,10:19:35,,,
2023-04-01,10:19:38,,,
2023-04-01,10:19:40,,,
2023-04-01,10:19:45,,,
2023-04-01,10:19:47,,,
2023-04-01,10:19:50,,,
2023-04-01,10:19:53,,,
2023-04-01,10:19:55,,,
2023-04-01,10:19:58,,,
2023-04-01,10:20:01,,,
2023-04-01,10:20:03,"PUL:31,RES:4,TEM:0.00,SUG:389.78,VEL:7.75,O2:7.17,CO2:7.75,STR:0.93,CAR:1,HYT:0
","PUL:31,RES:4,TEM:0.00,SUG:389.78,VEL:7.75,O2:7.17,CO2:7.75,STR:0.93,CAR:1,HYT:0
","PUL:31,RES:4,TEM:0.00,SUG:389.78,VEL:7.75,O2:7.17,CO2:7.75,STR:0.93,CAR:1,HYT:0
"
2023-04-01,10:20:06,,,
2023-04-01,10:20:08,,,
2023-04-01,10:20:11,,,
2023-04-01,10:20:13,,,
2023-04-01,10:20:16,,,
2023-04-01,10:20:20,,,
2023-04-01,10:20:22,,,
2023-04-01,10:20:24,,,
2023-04-01,10:20:27,,,
2023-04-01,10:20:30,,,
2023-04-01,10:20:32,,,
2023-04-01,10:20:35,,,
2023-04-01,10:20:37,,,
2023-04-01,10:20:40,,,
2023-04-01,10:20:42,,,
2023-04-01,10:20:44,,,
2023-04-01,10:20:47,,,
2023-04-01,10:20:50,,,
2023-04-01,10:20:54,,,
2023-04-01,10:20:56,,,
2023-04-01,10:20:59,,,
2023-04-01,10:21:01,"PUL:2,RES:0,TEM:0.00,SUG:6041.67,VEL:inf,O2:inf,CO2:inf,STR:nan,CAR:1,HYT:0
","PUL:2,RES:0,TEM:0.00,SUG:6041.67,VEL:inf,O2:inf,CO2:inf,STR:nan,CAR:1,HYT:0
","PUL:2,RES:0,TEM:0.00,SUG:6041.67,VEL:inf,O2:inf,CO2:inf,STR:nan,CAR:1,HYT:0
"
2023-04-01,10:21:04,,,
2023-04-01,10:21:06,,,
2023-04-01,10:21:09,,,
2023-04-01,10:21:12,,,
2023-04-01,10:21:14,,,
2023-04-01,10:21:17,,,
2023-04-01,10:21:19,,,
2023-04-01,10:21:21,,,
2023-04-01,10:21:24,,,
2023-04-01,10:21:28,,,
2023-04-01,10:21:31,,,
2023-04-01,10:21:33,,,
2023-04-01,10:21:36,,,
2023-04-01,10:21:38,,,
2023-04-01,10:21:41,,,
2023-04-01,10:21:43,,,
2023-04-01,10:21:46,,,
2023-04-01,10:21:48,,,
2023-04-01,10:21:51,,,
2023-04-01,10:21:53,,,
2023-04-01,10:21:56,,,
2023-04-01,10:21:58,,,
2023-04-01,10:22:02,"PUL:1,RES:0,TEM:0.00,SUG:12083.33,VEL:inf,O2:inf,CO2:inf,STR:nan,CAR:1,HYT:0
","PUL:1,RES:0,TEM:0.00,SUG:12083.33,VEL:inf,O2:inf,CO2:inf,STR:nan,CAR:1,HYT:0
","PUL:1,RES:0,TEM:0.00,SUG:12083.33,VEL:inf,O2:inf,CO2:inf,STR:nan,CAR:1,HYT:0
"
2023-04-01,10:22:04,,,
2023-04-01,10:22:07,,,
2023-04-01,10:22:10,,,
2023-04-01,10:22:12,,,
2023-04-01,10:22:15,,,
2023-04-01,10:22:17,,,
2023-04-01,10:22:20,,,
2023-04-01,10:22:22,,,
2023-04-01,10:22:25,,,
2023-04-01,10:22:27,,,
2023-04-01,10:22:30,,,
2023-04-01,10:22:35,,,
2023-04-01,10:22:38,,,
2023-04-01,10:22:40,,,
2023-04-01,10:22:43,,,
2023-04-01,10:22:45,,,
2023-04-01,10:22:48,,,
2023-04-01,10:22:50,,,
2023-04-01,10:22:53,,,
2023-04-01,10:22:55,,,
2023-04-01,10:22:58,,,
2023-04-01,10:23:00,,,
2023-04-01,10:23:02,"PUL:2,RES:1,TEM:0.00,SUG:6041.67,VEL:2.00,O2:1.42,CO2:2.00,STR:0.71,CAR:1,HYT:0
","PUL:2,RES:1,TEM:0.00,SUG:6041.67,VEL:2.00,O2:1.42,CO2:2.00,STR:0.71,CAR:1,HYT:0
","PUL:2,RES:1,TEM:0.00,SUG:6041.67,VEL:2.00,O2:1.42,CO2:2.00,STR:0.71,CAR:1,HYT:0
"
2023-04-01,10:23:05,,,
2023-04-01,10:23:10,,,
2023-04-01,10:23:12,,,
2023-04-01,10:23:15,,,
2023-04-01,10:23:17,,,
2023-04-01,10:23:20,,,
2023-04-01,10:23:22,,,
2023-04-01,10:23:25,,,
2023-04-01,10:23:27,,,
2023-04-01,10:23:29,,,
2023-04-01,10:23:32,,,
2023-04-01,10:23:34,,,
2023-04-01,10:23:37,,,
2023-04-01,10:23:43,,,
2023-04-01,10:23:46,,,
2023-04-01,10:23:48,,,
2023-04-01,10:23:51,,,
2023-04-01,10:23:54,,,
2023-04-01,10:23:56,,,
2023-04-01,10:23:59,,,
2023-04-01,10:24:01,,,
2023-04-01,10:24:04,,,
2023-04-01,10:24:06,,,
2023-04-01,10:24:09,,,
2023-04-01,10:24:11,,,
2023-04-01,10:24:14,,,
2023-04-01,10:24:19,,,
2023-04-01,10:24:21,,,
2023-04-01,10:24:24,,,
2023-04-01,10:24:27,,,
2023-04-01,10:24:29,,,
2023-04-01,10:24:32,,,
2023-04-01,10:24:34,,,
2023-04-01,10:24:37,,,
2023-04-01,10:24:39,,,
2023-04-01,10:24:42,,,
2023-04-01,10:24:44,"PUL:3,RES:11,TEM:0.00,SUG:4027.78,VEL:0.27,O2:-0.31,CO2:0.27,STR:-1.13,CAR:1,HYT:0
","PUL:3,RES:11,TEM:0.00,SUG:4027.78,VEL:0.27,O2:-0.31,CO2:0.27,STR:-1.13,CAR:1,HYT:0
","PUL:3,RES:11,TEM:0.00,SUG:4027.78,VEL:0.27,O2:-0.31,CO2:0.27,STR:-1.13,CAR:1,HYT:0
"
2023-04-01,10:24:47,,,
2023-04-01,10:24:52,,,
2023-04-01,10:24:54,,,
2023-04-01,13:48:08,,,
2023-04-01,13:48:11,,,
